temperature,e_per_spin,m_abs_per_spin,c_per_spin,susceptibility
2.20500000,-1.53818262,0.77123145,1.35485054,4.30648193
2.21000000,-1.53523730,0.77170093,1.63990368,5.74845332
2.21500000,-1.52856934,0.77188867,1.29019445,2.88350972
2.22000000,-1.51402734,0.76009790,1.50751139,3.87889016
2.22500000,-1.51754736,0.76511133,1.42449305,3.47091656
2.23000000,-1.48890967,0.72293384,1.35146667,5.40792430
2.23500000,-1.49261377,0.73590283,1.75975241,6.10821552
2.24000000,-1.50035742,0.75873413,1.20057090,2.98683726
2.24500000,-1.48624023,0.73728662,1.56302618,4.38079049
2.25000000,-1.48827148,0.74816284,1.01734406,2.49073919
2.25500000,-1.42529443,0.58567847,2.07226120,19.16883664
2.26000000,-1.44756592,0.69462549,1.19596054,3.44194308
2.26500000,-1.43437061,0.63885815,1.44781637,13.51760915
2.27000000,-1.41520459,0.60909033,1.78929793,15.97837069
2.27500000,-1.41248926,0.54986572,1.83507855,35.06939061
2.28000000,-1.40438184,0.52624634,2.16088005,87.04701303
2.28500000,-1.36291650,0.43982446,1.96306751,36.78473876
2.29000000,-1.41278711,0.63307324,1.81749219,17.11077496
2.29500000,-1.33853223,0.29669043,1.60490071,82.74185135
2.30000000,-1.35774121,0.48299292,1.99125714,42.87099404
2.30500000,-1.34487988,0.40169800,2.21812885,81.41449947
2.31000000,-1.34173535,0.46074097,1.57973303,24.41543624
2.31500000,-1.28813525,0.13605762,1.14433228,27.86184603
2.32000000,-1.30759570,0.23645410,1.39400198,84.77813415
2.32500000,-1.28681982,0.28696338,1.26029208,18.48019052
2.33000000,-1.28822412,0.22304419,1.23106091,97.37117709
2.33500000,-1.28974316,0.28104199,1.18328855,31.05828511
2.34000000,-1.29113281,0.36424438,1.77482876,55.28994939
2.34500000,-1.26463086,0.13989966,1.31373834,30.66249852
2.35000000,-1.27420557,0.29127637,1.59985140,43.26382476
2.35500000,-1.25730713,0.27502930,1.46372127,149.59987451
2.36000000,-1.25520117,0.22890454,1.27087204,26.08006409
2.36500000,-1.24010059,0.14501245,1.12140779,57.64079574
2.37000000,-1.24268359,0.22891016,1.30407296,72.31552725
2.37500000,-1.23148828,0.22726685,1.04061916,108.78020095
2.38000000,-1.22464844,0.19295361,1.43816286,91.65813974
2.38500000,-1.21647168,0.16953589,0.90712208,53.88445091
2.39000000,-1.20759082,0.15214404,0.90211163,31.80461418
2.39500000,-1.20541406,0.12167310,1.11704893,39.64573546
2.40000000,-1.20673486,0.15591382,1.02454046,54.45218017
2.40500000,-1.19360889,0.09850537,0.99339494,24.01387615
2.41000000,-1.19105273,0.14158105,1.08589120,32.19531539
2.41500000,-1.19836475,0.18977905,1.31314710,86.17589665
2.42000000,-1.18290771,0.15471021,1.01451376,58.04945617
2.42500000,-1.18247656,0.14434766,1.04507537,45.91860911
2.43000000,-1.17438086,0.12040527,1.11783530,34.23850203
2.43500000,-1.16489600,0.16911182,1.03438176,62.38321977
2.44000000,-1.16602490,0.11253076,0.96375736,33.70379240
2.44500000,-1.16092188,0.14655786,1.01237994,29.82148033
2.45000000,-1.14972803,0.09301709,1.08389807,20.34236244
2.45500000,-1.15066943,0.11382104,0.89193699,29.38825028
2.46000000,-1.14186572,0.14023804,0.90693882,35.89159076
2.46500000,-1.12906982,0.09599683,0.81079422,15.34927551
2.47000000,-1.13219482,0.11470923,0.91173180,29.58410219
2.47500000,-1.12547070,0.10003296,0.95637287,19.51311220
2.48000000,-1.13076660,0.09363354,0.88866932,21.94330163
2.48500000,-1.11939648,0.10715894,0.83656704,23.99295904
2.49000000,-1.11471436,0.10508057,0.94761888,25.25548358
2.49500000,-1.10566650,0.08482056,0.97679232,15.62447969
2.50000000,-1.10418164,0.12670239,0.91901117,37.33666887
2.50500000,-1.09758154,0.06080493,0.69926741,9.30601825
